Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,153306,7127.0,110813,35366,3838,178.0,751978.0,18824.0,39948324
Armenia,243386,4876.0,227726,10784,81956,1642.0,1554292.0,523382.0,2969710
Azerbaijan,428736,5677.0,370002,53057,41845,554.0,4481039.0,437355.0,10245775
Bahrain,272635,1388.0,270296,951,154012,784.0,5951437.0,3361985.0,1770215
Bangladesh,1503680,26274.0,1431984,45422,9026,158.0,8958639.0,53772.0,166602888
Bhutan,2596,3.0,2571,22,3322,4.0,798573.0,1021827.0,781515
Brunei,2858,11.0,1053,1794,6461,25.0,235286.0,531882.0,442365
Cambodia,93926,1928.0,89500,2498,5529,113.0,2116688.0,124594.0,16988620
China,94926,4636.0,89313,977,66,3.0,160000000.0,111163.0,1439323776
Cyprus,114131,507.0,90755,22869,93733,416.0,9366973.0,7692892.0,1217614
Georgia,556909,7563.0,502534,46812,139919,1900.0,8130855.0,2042815.0,3980221
Hong Kong,12114,212.0,11798,104,1601,28.0,23570776.0,3114558.0,7567937
India,32857937,439559.0,32028825,389553,23540,315.0,524868734.0,376027.0,1395827756
Indonesia,4100138,133676.0,3776891,189571,14807,483.0,32436136.0,117142.0,276896388
Iran,5025233,108393.0,4237315,679525,58950,1272.0,28213229.0,330962.0,85246093
Iraq,1895459,20878.0,1741493,133088,45925,506.0,14393597.0,348745.0,41272603
Israel,1082981,7086.0,989507,86388,116125,760.0,19256766.0,2064847.0,9326000
Japan,1486153,16041.0,1254710,215402,11793,127.0,21885440.0,173661.0,126024055
Jordan,798091,10422.0,776163,11506,77325,1010.0,9287040.0,899797.0,10321263
Kazakhstan,798671,9495.0,691480,97696,41950,499.0,11575012.0,607978.0,19038545
Kuwait,409961,2420.0,405320,2221,94371,557.0,3799124.0,874536.0,4344162
Kyrgyzstan,176018,2536.0,170169,3313,26471,381.0,1648161.0,247860.0,6649575
Laos,15289,14.0,5418,9857,2066,2.0,381173.0,51520.0,7398583
Lebanon,603288,8061.0,555063,40164,88853,1187.0,4759054.0,700920.0,6789724
Macao,63,,60,3,96,,4778.0,7243.0,659651
Malaysia,1765016,16942.0,1482800,265274,53731,516.0,22843267.0,695394.0,32849371
Maldives,81301,226.0,79268,1807,147383,410.0,1351647.0,2450274.0,551631
Mongolia,221351,948.0,195676,24727,66277,284.0,3647780.0,1092219.0,3339789
Myanmar,402640,15490.0,353811,33339,7343,282.0,3653562.0,66628.0,54835418
Nepal,764295,10770.0,719336,34189,25693,362.0,3925758.0,131971.0,29747058
Oman,302393,4068.0,292038,6287,57515,774.0,1550000.0,294809.0,5257635
Pakistan,1167791,25978.0,1048872,92941,5170,115.0,17871620.0,79118.0,225885525
Palestine,344957,3688.0,319135,22134,65840,704.0,2196916.0,419310.0,5239362
Philippines,2003955,33533.0,1829473,140949,18008,301.0,18799732.0,168939.0,111280999
Qatar,232910,602.0,229763,2545,82951,214.0,2509828.0,893875.0,2807805
S. Korea,255401,2303.0,226222,26876,4977,45.0,13223515.0,257664.0,51320715
Saudi Arabia,544634,8552.0,533151,2931,15365,241.0,27505312.0,775988.0,35445521
Singapore,67800,55.0,66222,1523,11484,9.0,17773017.0,3010325.0,5904020
Sri Lanka,444130,9400.0,376216,58514,20640,437.0,4855036.0,225626.0,21518054
Syria,28045,2018.0,22491,3536,1558,112.0,103566.0,5755.0,17995086
Taiwan,16006,837.0,14960,209,671,35.0,5003243.0,209629.0,23867112
Tajikistan,16852,124.0,16698,30,1722,13.0,,,9786878
Thailand,1234487,12103.0,1058704,163680,17634,173.0,8129670.0,116131.0,70004480
Timor-Leste,16941,72.0,12363,4506,12570,53.0,169501.0,125772.0,1347681
Turkey,6412277,57000.0,5852381,502896,75088,667.0,76740334.0,898627.0,85397309
UAE,719355,2043.0,706644,10668,71722,204.0,75035930.0,7481365.0,10029711
Uzbekistan,157872,1093.0,149767,7012,4639,32.0,1377915.0,40486.0,34034428
Vietnam,473530,11868.0,248722,212940,4814,121.0,16083797.0,163519.0,98360149
Yemen,7900,1480.0,4871,1549,258,48.0,256937.0,8399.0,30590284
